Ochaq,Nawa,Bousilik,Rast,Iraq 1,Iraq 2,Irfahan 1,Irfahan 2,Zirafkend,Bouzourk,Zenkouleh,Rahawi,Ilhosaini,Ilhidjazi,Shed Araban,Araq,Araq Zemzemy,Rahhat el Arwahh,Remel,Nikriz,Nishawerk,Penjgah,Sadhkar el muta’arif,Ilhejaskar,Shawerk of the Egyptians,Bagpipe 1,Rajah Ram Pal Singh 1,Rajah Ram Pal Singh 2,Rajah Ram Pal Singh 3,Rajah Ram Pal Singh 4,Rajah Ram Pal Singh 5,Balafong,Tar,Balafong,Patala,Balafong,Ranat,Slendro 1,Slendro 2,Slendro 3,Slendro 4,Pelog 1,Ti-tsu,So-na,Sheng,Pien-lo,Yan-lo,Yang-chin,Sien tsu,Pi-Pa,Bells,Biwa,Koto female,Koto master
Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique,Unique
Arabic,Arabic,Arabic,Arabic,Arabic,Arabic,Arabic,Arabic,Arabic,Arabic,Arabic,Arabic,Arabic,Arabic,Arabic,Arabic,Arabic,Arabic,Arabic,Arabic,Arabic,Arabic,Arabic,Arabic,Arabic,Arabic,Hindustani,Hindustani,Hindustani,Hindustani,Hindustani,Hindustani,Hindustani,Singapore,Myanmar,Myanmar,Thai,Gamelan,Gamelan,Gamelan,Gamelan,Gamelan,China,China,China,China,China,China,China,China,China,Japan,Japan,Japan
Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,South Asia,South Asia,South Asia,South Asia,South Asia,South Asia,South Asia,South East Asia,South East Asia,South East Asia,South East Asia,South East Asia,South East Asia,South East Asia,South East Asia,South East Asia,East Asia,East Asia,East Asia,East Asia,East Asia,East Asia,East Asia,East Asia,East Asia,East Asia,East Asia,East Asia
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Iraq,India,India,India,India,India,India,India,Singapore,Myanmar,Myanmar,Thailand,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,China,China,China,China,China,China,China,China,China,Japan,Japan,Japan
Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations,Ellis – 1885 – On the musical scales of various nations
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
204,204,90,204,180,180,180,180,180,180,204,180,180,180,100,350,200,350,200,200,500,200,200,200,300,191,183,174,183,111,90,187,175,169,176,114,129,228,191,219,270,137,178,145,210,169,52,169,189,145,313,202,719,683
204,90,204,180,204,204,204,204,114,204,180,204,114,114,100,150,100,150,150,300,200,150,150,100,200,196,159,176,88,203,276,169,179,181,174,236,148,256,251,256,200,309,161,152,128,198,188,105,197,206,167,79,193,185
90,204,204,114,114,114,114,114,204,114,114,114,204,204,200,200,200,200,150,200,200,150,150,400,200,144,211,127,263,220,127,170,158,193,183,200,231,244,249,261,266,129,109,143,160,40,26,217,316,196,244,90,164,152
204,204,90,204,180,180,204,204,180,180,180,180,180,180,100,150,200,100,200,150,200,200,200,150,150,154,132,220,152,152,214,147,208,166,174,137,218,232,261,223,239,112,214,197,217,179,152,170,191,227,,95,362,346
204,204,204,180,204,204,180,180,1114,24,204,114,228,204,200,150,150,300,150,250,100,150,200,250,150,208,186,211,186,142,74,183,176,185,192,151,45,240,220,288,243,133,226,176,193,88,19,217,312,321,,,82,107
90,90,204,114,114,114,114,114,90,204,114,204,90,114,100,200,150,100,100,100,,50,100,100,200,150,203,162,111,189,299,129,166,146,154,194,258,,,,,278,215,201,132,101,149,118,,,,,398,410
204,204,204,204,204,180,204,180,204,180,204,204,204,204,200,,200,,150,,,100,200,,,156,156,111,249,181,7,237,175,165,193,164,225,,,,,102,93,202,159,22,3,202,,,,,,
,,,,,,,,114,114,,,,,200,,,,100,,,100,,,,191,,,,,,321,205,,,,201,,,,,,,,214,265,123,,,,,,,
,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,355,173,,,,103,,,,,,,,151,144,26,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391,150,,,,,,,,,,,,182,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434,195,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484,221,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531,160,,,,,,,,,,,,,,,,,,,,,
